type,uri,element,value
collectionobjects,/collectionobjects/f9e0ba92-ee6b-4932-bb4c,objectNumber,2014.9804
collectionobjects,/collectionobjects/9c3406a3-a59c-4236-8a12,objectNumber,2014.9703
collectionobjects,/collectionobjects/7edf739d-a331-47f8-926a,objectNumber,2002.5178
collectionobjects,/collectionobjects/c197e482-0f15-4e52-9575,objectNumber,2014.9739
collectionobjects,/collectionobjects/4feb9cfe-e3d1-4251-bb5f,objectNumber,2014.9872
collectionobjects,/collectionobjects/1cd95027-2b2c-44a1-9664,objectNumber,2014.9852
collectionobjects,/collectionobjects/20cc5b1f-3ae6-451e-90b5,objectNumber,1994.1181
collectionobjects,/collectionobjects/ad91e4b7-2e53-4968-b68d,objectNumber,2014.9841
collectionobjects,/collectionobjects/7e463380-14b8-46bc-bf73,objectNumber,2004.6653
collectionobjects,/collectionobjects/e4a55af4-30c9-4ec8-b98f,objectNumber,2014.9717
collectionobjects,/collectionobjects/bcf26775-c919-4b05-b72a,objectNumber,2002.6885
collectionobjects,/collectionobjects/e9b16ef3-aaa3-4bf6-9d2d,objectNumber,1994.1163
collectionobjects,/collectionobjects/45af1475-c4d2-47cb-9551,objectNumber,2014.9722
collectionobjects,/collectionobjects/9177cae0-2190-4abb-8269,objectNumber,2014.9724
collectionobjects,/collectionobjects/4c718822-0417-439a-8025,objectNumber,2014.9805
collectionobjects,/collectionobjects/0190a71b-df15-46f3-a18d,objectNumber,2004.5249
collectionobjects,/collectionobjects/090c3abe-b280-42ab-9305,objectNumber,2014.9747
collectionobjects,/collectionobjects/9e451fad-725f-4dec-baf5,objectNumber,2014.9793
collectionobjects,/collectionobjects/6c76c7ab-15cc-4df5-8137,objectNumber,2014.9857
collectionobjects,/collectionobjects/3f03fe4b-ef26-40c6-9fce,objectNumber,2011.9455
collectionobjects,/collectionobjects/8f2335dc-1910-448c-883a,objectNumber,2014.9853
collectionobjects,/collectionobjects/445b9d2c-dea5-48a3-9dd3,objectNumber,2000.5347
collectionobjects,/collectionobjects/d6391b87-e8c0-4aeb-b08c,objectNumber,1997.3406
collectionobjects,/collectionobjects/0fe53346-7f45-42df-90b6,objectNumber,1994.1184
collectionobjects,/collectionobjects/12eef296-39d4-46b5-9b17,objectNumber,2014.9811
