type,uri,element,value
collectionobjects,/collectionobjects/4f0501b4-98f1-46c5-bb4c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f83db215-8b41-4b1a-865c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/6e74ac84-0b06-41ec-aeaa,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c54e3d45-e26c-414c-96fc,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/622f5fc0-87d5-40a0-937e,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b10bd054-4683-4d47-ba78,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e7667910-c981-43eb-86d2,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/44a7a5cb-7e99-41b5-bf50,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4d38a7d7-f7e2-4579-a4fa,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/43f4d5ca-125c-4d8a-b8f4,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/09dec729-500c-4684-86d9,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/bf404ba0-2c87-4d34-b834,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/97916cc4-5026-4ff2-924c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f4f01308-2fae-4a71-8128,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/7698b364-833c-465e-b2af,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/588263e1-b77f-4519-b4bd,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/bfa1e3bd-d729-49e9-8550,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3b38a79c-bb75-43bc-94dd,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3f83576d-02b0-4342-9d51,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/85ce5f71-f810-41f0-b8cc,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/a252c7b4-3111-4200-aae8,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/702bf4a5-69ae-4882-8bc1,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/065d51dc-ec56-4370-878b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/cd0eccac-0145-487b-8912,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/87178537-79d9-4fa3-b7d3,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/2b9640d9-5a82-40b9-8a85,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/1766c3ed-da80-4939-add3,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c8a03501-aba5-4c98-857c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4f7ea9f0-de23-4df7-ad9e,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/55135f77-e488-4a60-a11c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/327bac4b-36a1-47e8-95c0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/582cfcfb-9c10-44b6-90c3,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9950b5a7-750c-4576-9634,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c784bd7f-0d27-4711-91b2,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9a9cf7e0-04f8-4e63-bafa,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/bd256ac3-b1f1-49fe-ad62,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b1d90818-3bf8-458d-b2dc,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/de913fe3-6a04-41a6-bd8c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f2a3f24d-cb5e-4aa8-8451,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/ab263abf-6a41-4a78-a725,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f6458331-0cd1-4bec-9595,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3dbf0174-927c-4bc4-a8e7,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3fda7ce4-46fd-4cab-b26c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/423a0d93-dfd1-4284-b3d0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f5d973a1-51e8-4b3f-aa8b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/55abc071-82d9-42d2-a00d,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9e5e2a19-1c42-4a5f-8433,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9d5a4ee6-14c0-4db7-998b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b0d4a8b7-d9c5-45fe-bfc0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/ec407771-83f9-464a-bf1c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/80713386-9095-4318-847f,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/6a8ac808-651d-4048-a0fd,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/2a225b4e-7b35-4a18-9e54,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e4c6e002-5009-45c3-9677,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/2246e298-5960-4a31-9325,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/97791dc5-039a-4aa0-8594,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9b28a964-20fc-439d-854a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/49d8e044-2272-454e-aa0c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/06b165fd-e656-4b6b-bb3c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/74df4f33-80fc-4c12-8864,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/23a7ef9c-96e2-4dc7-9958,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/71145392-030f-43ea-b907,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/6431f88b-fa6e-48e9-aa21,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/8e143344-04b7-49f3-beda,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/1f36aaae-475f-474e-9db2,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c96feb69-5158-4fb3-a2e6,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/d9a3eb9d-3ce5-4df5-804c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3d12e3eb-4edc-49a8-be08,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/73969e79-a416-431a-9f2c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/ff49e026-5e0f-467d-b570,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/6325d3f8-2652-4dfa-a226,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/10853116-70bb-4c55-9577,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/06cfef1a-3b6d-46d8-b91b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e5623da8-e836-43d8-ae54,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/28db6a61-e194-444f-86b6,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3e99d9ba-5f2f-4c52-9752,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/8ce3d67a-ff33-49cb-8d50,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/19a4e327-d65a-4dd1-870e,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4fb1f486-1a65-4d3e-9f27,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c531b7ad-b80a-45a9-829a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/660fdeaa-a9d1-4d5c-abaf,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/53d1cc76-d89d-48bc-8cbf,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/d702fedf-22b3-4f59-ae1e,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/22e77d16-8589-403a-a2fd,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/ce8e2aac-ab85-4604-b7a9,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/423a30ec-9960-45c8-bbc0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f78046ab-3e8e-4f0d-83b6,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/090b0016-8787-471b-a01f,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/a04d96ca-736a-40b2-b5af,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9dbf64ef-4f14-485f-9200,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/898b7975-7da0-4cea-be62,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/dc221f0f-3d4f-4742-8ce6,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/35437678-507e-4667-aa24,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/51a0f174-b9da-40d5-86b8,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4713c9e6-fb5c-40a5-a421,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/a97d4535-97bd-4f7f-a747,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/0fe4bd54-1c9a-41d7-b21c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/7b93d821-db22-44fa-a1e0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/ab1b2d0a-bfd6-4c3e-91d5,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/6b415858-dd66-4a76-b5c0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/5d5646ab-fab0-4d1d-b8d0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/8a15da44-78f3-4450-80b3,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4c7703b8-d356-4379-8a7b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/7959b4d4-b07f-48e9-b9e1,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3a832966-7556-4b38-80c7,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/1ad5006e-6577-4736-83f3,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/701f0dc2-0ee5-499a-83e0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/ea9d3947-0c5e-4c9d-952b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c9916b35-d7ef-40ce-8b88,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/70c14b3f-d8d5-4397-8672,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/932fb25f-d33e-409d-aabb,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3bf17c52-ba03-43f6-a40a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3b581a2a-b1e4-4161-b42f,responsibleDepartment,artcollection
